test_name,data_shape,missing_pattern,missing_rate,noise_type,noise_level,execution_time,cells_per_sec,success,error,use_fourier,noisy_mse,noisy_mae,noisy_rmse,noisy_mape,noisy_correlation,noisy_residual_std,noisy_residual_mean,noisy_coverage_95,noisy_evaluable_points
Fourier Mixed Signal [No Fourier],"(200, 10)",mcar,0.205,gaussian,0.1,2.257396936416626,885.9762178887264,True,,False,0.056795306181292984,0.18826175374832624,0.23831765813991415,40.926039805233565,0.997496885408078,0.2382912960632931,-0.0035446299904177228,0.9512195121951219,410
Fourier Mixed Signal [With Fourier],"(200, 10)",mcar,0.205,gaussian,0.1,2.296020030975342,871.072539881286,True,,True,0.05473173482954516,0.1887807450351357,0.23394814559971439,40.82433608538873,0.9975688003608494,0.23388403725749804,-0.005476490270093675,0.9560975609756097,410
Fourier Seasonal Signal [No Fourier],"(200, 10)",mcar,0.2125,gaussian,0.1,1.010556936264038,1979.1066967427557,True,,False,0.4454064528644196,0.5472530342357881,0.6673877829751003,612.6489573483409,0.5918719038522846,0.6662066456124943,0.03968826282628154,0.9458823529411765,425
Fourier Seasonal Signal [With Fourier],"(200, 10)",mcar,0.2125,gaussian,0.1,1.0079708099365234,1984.1844429264268,True,,True,0.48609188553375693,0.5712658513030323,0.6972029012660209,546.6674525876598,0.5388566582201193,0.696205828582698,0.03727371434718844,0.96,425
Fourier Trend Signal [No Fourier],"(200, 10)",mcar,0.1865,gaussian,0.1,1.5368669033050537,1301.3488648229538,True,,False,0.024888756508137957,0.12510808497916434,0.15776170799068434,25.791981734858872,0.9997056217825938,0.1574429124477638,-0.010024261973020336,0.9517426273458445,373
Fourier Trend Signal [With Fourier],"(200, 10)",mcar,0.1865,gaussian,0.1,1.4835882186889648,1348.0829618392254,True,,True,0.02568625641081081,0.12807153752650768,0.16026932460957963,24.966078264248566,0.9996966371127928,0.1599698602342082,-0.009792866151372738,0.9544235924932976,373
Fourier Regime Signal [No Fourier],"(200, 10)",mcar,0.2035,gaussian,0.1,1.4888229370117188,1343.3430868645046,True,,False,0.5668804080100227,0.5913809742639824,0.752914608710724,234.7040205008196,0.9142404690650145,0.7525716834535391,-0.022721559672013236,0.941031941031941,407
Fourier Regime Signal [With Fourier],"(200, 10)",mcar,0.2035,gaussian,0.1,1.4966697692871094,1336.3001251455996,True,,True,0.5460482078612795,0.588846076295066,0.7389507479265987,190.46344444596355,0.9173994432170074,0.7386082051114592,-0.02249727101912882,0.9484029484029484,407
Fourier Low Missing [No Fourier],"(200, 10)",mcar,0.095,gaussian,0.1,1.8916380405426025,1057.2847220953088,True,,False,0.04587428509564793,0.16521330749186247,0.21418283100110505,84.51881618931479,0.9979741253516933,0.2141739746207292,0.0019477399228768595,0.9526315789473684,190
Fourier Low Missing [With Fourier],"(200, 10)",mcar,0.095,gaussian,0.1,1.9192042350769043,1042.0985757776102,True,,True,0.04776619998208544,0.16624131351186086,0.21855479857940763,90.46877137623149,0.9979007216543431,0.21838984302965553,0.008489784659686934,0.9473684210526315,190
Fourier High Missing [No Fourier],"(200, 10)",mcar,0.3995,gaussian,0.1,2.4062349796295166,831.1740195498015,True,,False,0.3395111776869464,0.4783434532426728,0.5826758770422424,156.68195804158265,0.9863125493967082,0.5730263381062575,0.10560299959508526,0.9624530663329162,799
Fourier High Missing [With Fourier],"(200, 10)",mcar,0.3995,gaussian,0.1,1.5055789947509766,1328.392603093404,True,,True,0.20896757745700942,0.33816771455186606,0.45712971622615983,106.12377253166837,0.990698926538738,0.456913119044222,-0.014070504692086813,0.9687108886107635,799
Fourier Gaussian Noise [No Fourier],"(200, 10)",mcar,0.1945,gaussian,0.15,1.0418100357055664,1919.735778553428,True,,False,0.4083732773912918,0.5176160375771528,0.6390409043177845,252.03075899923002,0.5975000984944212,0.6388856618036874,-0.014085046430739337,0.9562982005141388,389
Fourier Gaussian Noise [With Fourier],"(200, 10)",mcar,0.1945,gaussian,0.15,1.0384457111358643,1925.955279657688,True,,True,0.4700537583134784,0.5586308480216521,0.6856046661987347,411.1899118355881,0.5103160977519636,0.685562631314227,-0.00759189429534105,0.961439588688946,389
Fourier Outlier Noise [No Fourier],"(200, 10)",mcar,0.201,outlier,0.15,0.6926541328430176,2887.4439711937416,True,,False,0.5527725367845752,0.5924885600029516,0.7434867428438621,235.73853520169953,0.4893937076668979,0.7434827291746414,-0.0024429907085136244,0.9527363184079602,402
Fourier Outlier Noise [With Fourier],"(200, 10)",mcar,0.201,outlier,0.15,0.7810280323028564,2560.7275504606564,True,,True,0.5897543227097901,0.6129158411702983,0.7679546358410698,536.8367027868715,0.4382514925798248,0.7679100534447209,-0.008274812887082992,0.9577114427860697,402
Fourier Small Data [No Fourier],"(100, 5)",mcar,0.194,gaussian,0.1,0.23857879638671875,2095.743660260305,True,,False,0.5682746423345619,0.6480505923174058,0.7538399315070554,198.0780151451341,0.4068174607917773,0.7538243640364849,-0.0048446382270626665,0.979381443298969,97
Fourier Small Data [With Fourier],"(100, 5)",mcar,0.194,gaussian,0.1,0.28806614875793457,1735.712447144062,True,,True,0.6868367985152182,0.7029659760067907,0.8287561755517833,220.31368062211868,0.24385138605885773,0.8285057598337696,-0.02037165770099323,0.9690721649484536,97
Fourier Large Data [No Fourier],"(400, 20)",mcar,0.20925,gaussian,0.1,2.8859927654266357,2772.009720827336,True,,False,0.32570113618119273,0.45413076381920264,0.5707023183597494,302.2577112217863,0.6653648182922537,0.5706943607875701,-0.0030137595225093908,0.945041816009558,1674
Fourier Large Data [With Fourier],"(400, 20)",mcar,0.20925,gaussian,0.1,2.8201658725738525,2836.7125770154507,True,,True,0.33911778133039844,0.4643018229830771,0.5823382018470009,291.597480517913,0.6486293175769048,0.5819123143931689,-0.02226745804945222,0.948626045400239,1674
Fourier Low Correlation [No Fourier],"(200, 10)",mcar,0.2095,gaussian,0.1,0.9808578491210938,2039.0314476171216,True,,False,0.5261101433232476,0.5857576855639172,0.7253345044345041,118.65744781038012,0.3565476744702249,0.7251504048387846,-0.016341165362187972,0.9594272076372315,419
Fourier Low Correlation [With Fourier],"(200, 10)",mcar,0.2095,gaussian,0.1,0.9704091548919678,2060.986327177275,True,,True,0.5639914093708615,0.6040570860647727,0.7509936147337483,121.49241093823639,0.2918044170172209,0.7508969293177342,-0.012050349043040995,0.954653937947494,419
Fourier High Correlation [No Fourier],"(200, 10)",mcar,0.192,gaussian,0.1,0.9553248882293701,2093.528625331707,True,,False,0.1676037300874057,0.328605828356145,0.40939434545118686,194.59622617420834,0.842162896484037,0.40911574425139163,0.015100923582205243,0.9427083333333334,384
Fourier High Correlation [With Fourier],"(200, 10)",mcar,0.192,gaussian,0.1,0.9129202365875244,2190.771898622771,True,,True,0.1893065192035918,0.35103926894554577,0.43509369014453864,200.3326019966321,0.8194262084072519,0.43478514301311916,0.01638287577482449,0.9505208333333334,384
